,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,CFID,CFPARAMS,SEASON
658,203998,Bruno Caboclo,Bruno,1610612745,HOU,25.0,6,1,5,0.167,6.1,0.3,0.8,0.7,2.7,2.7,1.8,1.5,6.7,0.3,0.2,1.0,0.3,6.2,506,515,50,520,491,473,280,297,292,70,54,37,478,238,112,111,484,461,5,"203998,1610612745",2020-21
659,1628981,Bruno Fernando,Bruno,1610612737,ATL,22.0,33,20,13,0.606,6.8,0.4,0.4,0.2,1.1,2.5,1.6,1.7,5.5,0.1,0.2,0.7,0.6,4.8,364,279,137,139,480,467,438,465,439,63,44,49,496,445,184,65,427,488,5,"1628981,1610612737",2020-21
660,1627854,Bryn Forbes,Bryn,1610612749,MIL,27.0,70,45,25,0.643,19.3,1.3,0.8,1.3,1.2,6.8,5.8,4.4,18.4,0.0,0.3,1.1,0.5,13.3,21,19,326,114,277,214,293,149,429,273,303,223,288,494,260,137,444,337,5,"1627854,1610612749",2020-21
661,1627741,Buddy Hield,Buddy,1610612758,SAC,28.0,71,31,40,0.437,34.3,2.2,2.0,3.1,2.5,12.4,10.1,9.3,38.2,0.4,0.5,2.5,1.0,29.7,12,130,513,337,24,91,69,16,307,531,525,508,7,189,360,467,308,84,5,"1627741,1610612758",2020-21
662,1629604,CJ Elleby,CJ,1610612757,POR,21.0,30,19,11,0.633,6.4,0.4,0.5,0.1,0.9,2.1,2.3,2.4,5.5,0.1,0.1,0.9,0.4,4.8,385,298,111,124,487,466,407,482,463,50,78,98,494,435,55,96,462,491,5,"1629604,1610612757",2020-21
663,203468,CJ McCollum,CJ,1610612757,POR,29.0,47,28,19,0.596,34.0,2.8,1.7,2.4,6.1,9.1,8.9,9.3,33.0,0.4,0.6,1.9,2.5,37.7,256,177,213,151,27,51,103,40,114,382,493,513,38,180,443,333,94,38,5,"203468,1610612757",2020-21
664,1628997,Caleb Martin,Caleb,1610612766,CHA,25.0,53,23,30,0.434,15.4,0.8,0.8,1.0,1.9,5.3,5.0,4.2,13.6,0.2,0.3,1.2,1.2,12.2,208,234,413,343,361,354,316,206,356,179,235,203,387,328,223,158,274,356,5,"1628997,1610612766",2020-21
665,1629629,Cam Reddish,Cam,1610612737,ATL,21.0,26,10,16,0.385,28.9,2.0,1.5,1.0,4.4,10.1,8.1,7.8,31.5,0.3,0.8,2.6,2.3,21.6,406,411,170,401,117,107,128,219,176,444,459,445,66,234,484,489,111,180,5,"1629629,1610612737",2020-21
666,1629244,Cam Reynolds,Cam,1610612745,HOU,26.0,5,3,2,0.6,8.1,0.0,0.0,0.6,0.8,3.4,3.0,2.0,12.4,0.0,0.0,0.4,0.0,4.8,512,482,15,143,469,508,510,314,473,98,120,72,405,495,1,28,527,490,5,"1629244,1610612745",2020-21
667,1629661,Cameron Johnson,Cameron,1610612756,PHX,25.0,60,43,17,0.717,24.0,1.4,1.0,1.6,2.3,6.7,5.3,5.2,22.3,0.3,0.3,1.4,1.2,17.7,140,33,182,41,196,210,256,119,319,265,263,288,215,292,225,198,275,253,5,"1629661,1610612756",2020-21
